species,region,range
Cordia bicolor,e.-10.-15,1500
Cordia bicolor,f.-15.-20,1000
Cordia bicolor,g.-20.-25,N/A
Cordia bogotensis,a.10.5,1900
Cordia bogotensis,b.5.0,1100
Cordia bogotensis,c.0.-5,0
Cordia bogotensis,d.-5.-10,N/A
Cordia bogotensis,e.-10.-15,N/A
Cordia bogotensis,f.-15.-20,N/A
Cordia bogotensis,g.-20.-25,N/A
Cordia dwyeri,a.10.5,700
Cordia dwyeri,b.5.0,300
Cordia dwyeri,c.0.-5,0
Cordia dwyeri,d.-5.-10,N/A
Cordia dwyeri,e.-10.-15,N/A
Cordia dwyeri,f.-15.-20,N/A
Cordia dwyeri,g.-20.-25,N/A
Cordia nodosa,a.10.5,1300
Cordia nodosa,b.5.0,1200
Cordia nodosa,c.0.-5,1200
Cordia nodosa,d.-5.-10,1500
Cordia nodosa,e.-10.-15,3400
Cordia nodosa,f.-15.-20,1200
Cordia nodosa,g.-20.-25,N/A
Cordia panamensis,a.10.5,1600
Cordia panamensis,b.5.0,1400
Cordia panamensis,c.0.-5,0
Cordia panamensis,d.-5.-10,N/A
Cordia panamensis,e.-10.-15,0
Cordia panamensis,f.-15.-20,N/A
Cordia panamensis,g.-20.-25,N/A
Cordiera myrciifolia,a.10.5,900
Cordiera myrciifolia,b.5.0,100
Cordiera myrciifolia,c.0.-5,N/A
Cordiera myrciifolia,d.-5.-10,N/A
Cordiera myrciifolia,e.-10.-15,500
Cordiera myrciifolia,f.-15.-20,N/A
Cordiera myrciifolia,g.-20.-25,N/A
Cornus peruviana,a.10.5,700
Cornus peruviana,b.5.0,1500
Cornus peruviana,c.0.-5,2100
Cornus peruviana,d.-5.-10,1300
Cornus peruviana,e.-10.-15,1800
Cornus peruviana,f.-15.-20,700
Cornus peruviana,g.-20.-25,N/A
Cornutia pyramidata,a.10.5,500
Cornutia pyramidata,b.5.0,1500
Cornutia pyramidata,c.0.-5,1800
Cornutia pyramidata,d.-5.-10,600
Cornutia pyramidata,e.-10.-15,1000
Cornutia pyramidata,f.-15.-20,0
Cornutia pyramidata,g.-20.-25,N/A
Cosmibuena grandiflora,a.10.5,1100
Cosmibuena grandiflora,b.5.0,1300
Cosmibuena grandiflora,c.0.-5,900
Cosmibuena grandiflora,d.-5.-10,1700
Cosmibuena grandiflora,e.-10.-15,1600
Cosmibuena grandiflora,f.-15.-20,1600
Cosmibuena grandiflora,g.-20.-25,N/A
Couma macrocarpa,a.10.5,700
Couma macrocarpa,b.5.0,700
